organization,website_address
전라남도 장성군,http://www.jangseong.go.kr/home/www/news/jangseong/announcement
전라남도 진도군,http://www.jindo.go.kr/home/gosi/general.cs?m=24
전라남도 함평군,https://www.hampyeong.go.kr/pg/GosiList.do?pageId=www273
전라남도 해남군,http://www.haenam.go.kr/index.9is?contentUid=4a94e38a4830deca0148b03c183c0dda
전라남도 장흥군,http://www.jangheung.go.kr/www/organization/news/notification
전라남도 화순군,http://www.hwasun.go.kr/contents.do?S=S01&M=020104000000
경상북도청,http://www.gb.go.kr/open_contents/ko/index.jsp?LARGE_CODE=310&MEDIUM_CODE=50&SMALL_CODE=10&SMALL_CODE2=30&SMALL_CODE3=&target=main&URL=/Common/board/board.jsp?BD_CODE=gosi_notice&menu_code=05663
경상북도 경산시,http://gbgs.go.kr/open_content/ko/page.do?mnu_uid=2160
경상북도 경주시,http://www.gyeongju.go.kr/open_content/ko/page.do?mnu_uid=423
경상북도 구미시,http://www.gumi.go.kr/portal/saeol/gosiList.do?seCode=01&mId=0401030000
경상북도 고령군,http://www.goryeong.go.kr/program/publicboard/lstBoardDoc.asp?cidx=1023
경상북도 군위군,http://www.gunwi.go.kr/ko/page.do?mnu_uid=170
경상북도 김천시,http://www.gimcheon.go.kr/administration/page.htm?mnu_siteid=inno&mnu_uid=1402&
경상북도 문경시,https://www.gbmg.go.kr/portal/saeol/gosi/list.do?mId=0301060000
경상북도 봉화군,http://www.bonghwa.go.kr/open.content/ko/news/news/announcement/bonghwa/
경상북도 상주시,http://www.sangju.go.kr/main/main.jsp?home_url=sangju&code=CITIZEN_NEWS_4
경상북도 안동시,http://www.andong.go.kr/andong/saeol/gosiList.do?mId=0401020000
경상북도 성주군,http://www.sj.go.kr/page.do?mnu_uid=1044
경상북도 영덕군,http://www.yd.go.kr/?page_id=763
경상북도 영주시,http://www.yeongju.go.kr/open_content/main/page.do?mnu_uid=1522
경상북도 영천시,http://www.yc.go.kr/ycMain/saeol/gosiList.do?seCode=01&mId=0301040000
경상북도 영양군,http://www.yyg.go.kr/www/organization/yyg_news/notification
경상북도 예천군,http://www.ycg.kr/open.content/ko/administrative/news/announcement/
경상북도 울릉군,http://www.ulleung.go.kr/ko/page.htm?mnu_uid=1593&
경상북도 울진군,http://www.uljin.go.kr/index.uljin?menuCd=DOM_000000103002007000
경상북도 의성군,http://www.usc.go.kr/news_participation/uiseong_news/notify_examination
경상북도 청도군,http://www.cheongdo.go.kr/open.content/ko/administration/news/announcement/
경상북도 청송군,http://www.cs.go.kr/news/00002679/00002688.web
경상북도 칠곡군,http://www.chilgok.go.kr/
경상북도 포항시,http://www.pohang.go.kr/pohang/with_pohang/notification.do
경상남도청,http://www.gyeongnam.go.kr/index.gyeong?menuCd=DOM_000000104001004002
경상남도 거제시,http://www.geoje.go.kr/index.geoje?menuCd=DOM_000000102001002001
경상남도 거창군,http://www.geochang.go.kr/town/board/List.do?gcode=1004&deptCd=d5470034&pageCd=TW0503040000&siteGubun=town
경상남도 고성군,"https://www.goseong.go.kr/board/list.goseong?boardId=GOSI&orderBy=REGISTER_DATE:DESC,DATA_IDX:DESC&menuCd=DOM_000000104001002001&contentsSid=1507&cpath="
경상남도 김해시,http://www.gimhae.go.kr/sub/02/01_03.jsp
경상남도 남해군,http://www.namhae.go.kr/news/Index.do?c=NW0103000000
경상남도 밀양시,http://www.miryang.go.kr/sub/03_01_02.php
경상남도 사천시,http://www.sacheon.go.kr/news/00009/00014.web
경상남도 산청군,http://www.sancheong.go.kr/www/selectBbsNttList.do?bbsNo=118&key=158
경상남도 양산시,http://www.yangsan.go.kr/yangsan/saeol/gosiList.do?seCode=01&mId=0401020000
경상남도 의령군,http://www.uiryeong.go.kr/board/list.uiryeong?boardId=BBS_0000070&menuCd=DOM_000000403010001001&contentsSid=606&cpath=
경상남도 진주시,http://www.jinju.go.kr/01civic/05_01.j네
경상남도 창녕군,http://www.cng.go.kr/news/00000372/00000375.web
경상남도 창원시,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 창원 의창구,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 창원 성산구,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 창원 마산합포구,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 창원 마산회원구,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 창원 진해구,https://www.changwon.go.kr/portal/saeol/gosi/list.do?mId=0202010000
경상남도 통영시,http://www.tongyeong.go.kr/00852/00853/00858.web
경상남도 하동군,http://www.hadong.go.kr/media/00012.web
경상남도 함안군,http://www.haman.go.kr/sub/03/01_01.jsp?gcode=2560&amode=view&idx=9108
경상남도 함양군,http://www.hygn.go.kr/media/00111/00114.web
경상남도 합천군,http://www.hc.go.kr/sub/03/02_01.jsp
제주특별자치도 서귀포시,http://www.seogwipo.go.kr/info/news/law/law.htm
제주특별자치도청,http://www.jejusi.go.kr/information/intro/notice.do
대법원경매,http://www.courtauction.go.kr/
대법원 인터넷등기소,http://www.iros.go.kr/
대법원 법률정보,http://www.scourt.go.kr/
온비드 공매,http://www.onbid.co.kr/
국토해양부,www.molit.go.kr 
부동산 공시지가 알리미,https://www.realtyprice.kr:447/notice/loginCheck.login
토지이용규제서비스,http://luris.molit.go.kr
온나라 부동산정보 통합포털,http://www.onnara.go.kr/
한국토지정보시스템,http://klis.seoul.go.kr/sis/main.do
민원24,http://www.minwon.go.kr/main?a=AA020InfoMainApp
대한민국 전자관보,http://gwanbo.korea.go.kr/main.gz
서울 시설관리공단,http://www.sisul.or.kr/open_content/main/
울산 시설관리공단,http://www.uimc.or.kr/main/main.php
부산 시설관리공단,http://www.bisco.or.kr/
대전 시설관리공단,http://www.djsiseol.or.kr/
인천 시설관리공단,http://www.insiseol.or.kr/
대구 시설관리공단,http://www.dgsisul.or.kr/
광주 도시개발공사,http://www.dcco.kr/kor/index.do
울산 도시개발공사,http://www.umca.co.kr/
부산 도시개발공사,http://www.bmc.busan.kr/
대전 도시개발공사,http://www.dcco.kr/kor/index.do
인천 도시개발공사,http://www.idtc.co.kr/open_content/main/
대구 도시개발공사,http://www.duco.or.kr/
서울 도시개발공사,https://www.i-sh.co.kr/main/index.do
한국 토지주택공사,http://www.lh.or.kr/
